name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Georgia State, 3, 5, 0, 37, 27, -32, ['South Carolina (5 - 3)', 'North Carolina (7 - 1)', 'Charlotte (2 - 7)', 'Coastal Carolina (7 - 1)', 'Army (3 - 4)', 'Georgia Southern (5 - 3)', 'Appalachian State (5 - 3)', 'Old Dominion (3 - 5)']
Old Dominion, 3, 5, 0, 35, 31, -26, ['Virginia Tech (2 - 6)', 'East Carolina (6 - 3)', 'Virginia (3 - 5)', 'Arkansas State (2 - 7)', 'Liberty (7 - 1)', 'Coastal Carolina (7 - 1)', 'Georgia Southern (5 - 3)', 'Georgia State (3 - 5)']
Florida Atlantic, 3, 5, 0, 35, 32, -11, ['Charlotte (2 - 7)', 'Ohio (5 - 3)', 'UCF (6 - 2)', 'Purdue (5 - 3)', 'North Texas (5 - 4)', 'Rice (4 - 4)', 'UTEP (4 - 5)', 'UAB (4 - 4)']
Auburn, 3, 5, 1, 43, 14, -56, ['San José State (6 - 2)', 'Penn State (6 - 2)', 'Missouri (4 - 4)', 'LSU (6 - 2)', 'Georgia (8 - 0)', 'Ole Miss (8 - 1)', 'Arkansas (5 - 3)']
Stanford, 3, 5, 1, 41, 15, -41, ['USC (7 - 1)', 'Washington (6 - 2)', 'Oregon (7 - 1)', 'Oregon State (6 - 2)', 'Notre Dame (5 - 3)', 'Arizona State (3 - 5)', 'UCLA (7 - 1)']
Texas A&M, 3, 5, 1, 39, 18, 7, ['Appalachian State (5 - 3)', 'Miami (4 - 4)', 'Arkansas (5 - 3)', 'Mississippi State (5 - 3)', 'Alabama (7 - 1)', 'South Carolina (5 - 3)', 'Ole Miss (8 - 1)']
Indiana, 3, 5, 1, 39, 18, -49, ['Illinois (7 - 1)', 'Western Kentucky (5 - 4)', 'Cincinnati (6 - 2)', 'Nebraska (3 - 5)', 'Michigan (8 - 0)', 'Maryland (6 - 2)', 'Rutgers (4 - 4)']
Georgia Tech, 3, 5, 1, 39, 18, -96, ['Clemson (8 - 0)', 'Ole Miss (8 - 1)', 'UCF (6 - 2)', 'Pittsburgh (4 - 4)', 'Duke (5 - 3)', 'Virginia (3 - 5)', 'Florida State (5 - 3)']
Vanderbilt, 3, 5, 1, 37, 21, -80, ["Hawai'i (2 - 7)", 'Wake Forest (6 - 2)', 'Northern Illinois (2 - 6)', 'Alabama (7 - 1)', 'Ole Miss (8 - 1)', 'Georgia (8 - 0)', 'Missouri (4 - 4)']
Iowa State, 3, 5, 1, 35, 21, 40, ['Iowa (4 - 4)', 'Ohio (5 - 3)', 'Baylor (5 - 3)', 'Kansas (5 - 3)', 'Kansas State (6 - 2)', 'Texas (5 - 3)', 'Oklahoma (5 - 3)']
Kent State, 3, 5, 1, 35, 24, -30, ['Washington (6 - 2)', 'Oklahoma (5 - 3)', 'Georgia (8 - 0)', 'Ohio (5 - 3)', 'Miami (OH) (4 - 5)', 'Toledo (6 - 3)', 'Akron (1 - 8)']
Arizona State, 3, 5, 1, 34, 23, -13, ['Oklahoma State (6 - 2)', 'Eastern Michigan (5 - 4)', 'Utah (6 - 2)', 'USC (7 - 1)', 'Washington (6 - 2)', 'Stanford (3 - 5)', 'Colorado (1 - 7)']
West Virginia, 3, 5, 1, 33, 23, -2, ['Pittsburgh (4 - 4)', 'Kansas (5 - 3)', 'Virginia Tech (2 - 6)', 'Texas (5 - 3)', 'Baylor (5 - 3)', 'Texas Tech (4 - 4)', 'TCU (8 - 0)']
Virginia, 3, 5, 1, 33, 23, -37, ['Illinois (7 - 1)', 'Old Dominion (3 - 5)', 'Syracuse (6 - 2)', 'Duke (5 - 3)', 'Louisville (5 - 3)', 'Georgia Tech (3 - 5)', 'Miami (4 - 4)']
